datum;temperatuur (C) [915096001];windsnelheid (m/s) [915096001];windrichting (graden) [915096001];relatieve vochtigheid  (%) [915096001];luchtdruk (hPa) [915096001]
2017-04-01T00:00:00;9.1;2.0;211;84;1012.5
2017-04-01T00:10:00;8.6;2.1;215;85;1012.5
2017-04-01T00:20:00;8.7;2.0;212;85;1012.5
2017-04-01T00:30:00;8.5;1.8;199;86;1012.5
2017-04-01T00:40:00;9.1;2.1;179;87;1012.5
2017-04-01T00:50:00;8.6;2.1;179;90;1012.4
2017-04-01T01:00:00;8.8;2.3;173;89;1012.5
2017-04-01T01:10:00;9.3;2.4;170;89;1012.4
2017-04-01T01:20:00;9.0;2.2;170;89;1012.4
2017-04-01T01:30:00;8.6;2.2;173;91;1012.3
2017-04-01T01:40:00;8.4;2.1;174;91;1012.2
2017-04-01T01:50:00;8.3;2.1;176;92;1012.1
2017-04-01T02:00:00;8.1;1.9;167;94;1012.0
2017-04-01T02:10:00;8.8;1.2;150;94;1012.0
2017-04-01T02:20:00;8.9;1.2;136;93;1012.0
2017-04-01T02:30:00;8.5;1.7;158;95;1011.9
2017-04-01T02:40:00;8.2;1.7;154;93;1011.8
2017-04-01T02:50:00;7.7;1.0;128;97;1011.8
2017-04-01T03:00:00;7.6;1.5;142;95;1011.8
2017-04-01T03:10:00;7.4;1.9;152;97;1011.6
2017-04-01T03:20:00;7.7;1.3;132;96;1011.4
2017-04-01T03:30:00;8.0;0.5;119;99;1011.4
2017-04-01T03:40:00;7.3;1.5;137;96;1011.4
2017-04-01T03:50:00;7.0;1.6;140;98;1011.4
2017-04-01T04:00:00;7.8;1.0;136;99;1011.4
2017-04-01T04:10:00;8.1;1.2;145;98;1011.4
2017-04-01T04:20:00;8.0;1.1;138;99;1011.4
2017-04-01T04:30:00;8.1;1.1;116;95;1011.2
2017-04-01T04:40:00;8.9;1.1;111;94;1011.0
2017-04-01T04:50:00;9.2;1.1;119;94;1011.0
2017-04-01T05:00:00;9.3;1.6;124;94;1011.0
2017-04-01T05:10:00;9.5;2.1;128;94;1010.8
2017-04-01T05:20:00;9.7;1.9;128;93;1010.8
2017-04-01T05:30:00;9.7;2.2;120;93;1010.8
2017-04-01T05:40:00;9.6;2.5;126;93;1010.8
2017-04-01T05:50:00;9.6;2.2;126;93;1010.6
2017-04-01T06:00:00;10.1;1.7;140;92;1010.6
2017-04-01T06:10:00;10.2;1.4;146;92;1010.6
2017-04-01T06:20:00;10.2;1.1;136;92;1010.4
2017-04-01T06:30:00;10.5;1.1;124;91;1010.4
2017-04-01T06:40:00;10.9;1.4;135;90;1010.4
2017-04-01T06:50:00;11.0;2.1;133;90;1010.4
2017-04-01T07:00:00;11.1;2.9;133;90;1010.4
2017-04-01T07:10:00;11.2;2.7;136;89;1010.4
2017-04-01T07:20:00;11.1;3.0;133;90;1010.4
2017-04-01T07:30:00;11.5;3.6;136;88;1010.4
2017-04-01T07:40:00;11.5;3.6;133;89;1010.4
2017-04-01T07:50:00;11.6;3.7;126;88;1010.2
2017-04-01T08:00:00;11.7;3.7;140;88;1010.2
2017-04-01T08:10:00;11.7;3.0;140;88;1010.2
2017-04-01T08:20:00;11.7;3.2;163;88;1010.4
2017-04-01T08:30:00;11.4;3.6;169;88;1010.6
2017-04-01T08:40:00;11.2;4.2;176;90;1010.6
2017-04-01T08:50:00;11.2;4.4;181;89;1010.8
2017-04-01T09:00:00;11.0;4.4;187;90;1010.8
2017-04-01T09:10:00;11.0;4.1;196;90;1010.8
2017-04-01T09:20:00;11.0;3.8;200;90;1011.0
2017-04-01T09:30:00;11.0;4.0;206;90;1011.0
2017-04-01T09:40:00;11.0;3.4;215;88;1011.0
2017-04-01T09:50:00;10.9;3.1;216;89;1011.0
2017-04-01T10:00:00;10.7;3.3;222;90;1011.2
2017-04-01T10:10:00;10.6;3.2;225;90;1011.2
2017-04-01T10:20:00;10.7;2.8;240;91;1011.2
2017-04-01T10:30:00;10.9;2.5;250;91;1011.2
2017-04-01T10:40:00;11.0;2.6;251;91;1011.2
2017-04-01T10:50:00;11.2;2.7;236;91;1011.4
2017-04-01T11:00:00;11.0;2.9;231;91;1011.4
2017-04-01T11:10:00;11.1;2.8;235;90;1011.6
2017-04-01T11:20:00;11.5;2.9;238;91;1011.6
2017-04-01T11:30:00;-;-;-;-;-
2017-04-01T11:40:00;-;-;-;-;-
2017-04-01T11:50:00;-;-;-;-;-
2017-04-01T12:00:00;11.2;4.2;242;87;1011.8
2017-04-01T12:10:00;11.2;3.1;248;86;1011.8
2017-04-01T12:20:00;11.1;2.4;246;86;1011.8
2017-04-01T12:30:00;11.4;2.3;230;85;1011.8
2017-04-01T12:40:00;11.7;2.4;240;85;1011.8
2017-04-01T12:50:00;12.0;2.4;243;85;1011.6
2017-04-01T13:00:00;12.4;2.2;237;82;1011.6
2017-04-01T13:10:00;12.6;2.6;228;81;1011.6
2017-04-01T13:20:00;12.6;3.0;230;80;1011.6
2017-04-01T13:30:00;12.3;3.2;240;81;1011.6
2017-04-01T13:40:00;12.4;3.2;246;82;1011.8
2017-04-01T13:50:00;12.5;3.4;253;80;1011.8
2017-04-01T14:00:00;12.7;3.5;242;79;1011.8
2017-04-01T14:10:00;12.7;3.7;240;76;1012.0
2017-04-01T14:20:00;12.4;2.6;264;75;1012.0
2017-04-01T14:30:00;12.4;2.6;272;72;1012.0
2017-04-01T14:40:00;12.5;2.5;269;73;1012.0
2017-04-01T14:50:00;12.7;2.7;283;73;1012.0
2017-04-01T15:00:00;13.0;2.4;276;73;1011.8
2017-04-01T15:10:00;13.2;2.8;278;72;1011.8
2017-04-01T15:20:00;13.3;2.2;270;71;1011.6
2017-04-01T15:30:00;13.1;2.3;259;72;1011.6
2017-04-01T15:40:00;13.4;2.7;269;72;1011.8
2017-04-01T15:50:00;13.1;3.0;268;71;1011.6
2017-04-01T16:00:00;13.1;2.8;292;71;1011.6
2017-04-01T16:10:00;13.0;2.7;284;73;1011.6
2017-04-01T16:20:00;13.0;2.6;284;72;1011.6
2017-04-01T16:30:00;13.0;2.5;279;73;1011.6
2017-04-01T16:40:00;13.0;2.2;272;72;1011.6
2017-04-01T16:50:00;13.1;1.7;276;71;1011.6
2017-04-01T17:00:00;13.1;1.9;287;71;1011.6
2017-04-01T17:10:00;13.0;2.5;272;71;1011.6
2017-04-01T17:20:00;12.9;2.2;284;72;1011.6
2017-04-01T17:30:00;12.9;2.2;273;74;1011.6
2017-04-01T17:40:00;12.8;2.0;282;76;1011.6
2017-04-01T17:50:00;12.6;1.6;285;74;1011.8
2017-04-01T18:00:00;12.5;1.6;289;75;1011.8
2017-04-01T18:10:00;12.4;1.1;306;77;1011.8
2017-04-01T18:20:00;12.3;1.3;298;78;1011.8
2017-04-01T18:30:00;12.3;1.2;292;78;1012.0
2017-04-01T18:40:00;12.1;1.3;282;77;1012.2
2017-04-01T18:50:00;12.1;1.0;267;76;1012.2
2017-04-01T19:00:00;12.0;1.7;266;77;1012.2
2017-04-01T19:10:00;11.8;1.9;273;80;1012.4
2017-04-01T19:20:00;11.6;1.8;268;79;1012.4
2017-04-01T19:30:00;11.5;1.4;268;78;1012.4
2017-04-01T19:40:00;11.5;0.9;274;77;1012.6
2017-04-01T19:50:00;11.5;0.7;282;77;1012.6
2017-04-01T20:00:00;11.3;1.0;286;81;1012.6
2017-04-01T20:10:00;11.0;0.8;283;81;1012.6
2017-04-01T20:20:00;-;-;-;-;-
2017-04-01T20:30:00;-;-;-;-;-
2017-04-01T20:40:00;-;-;-;-;-
2017-04-01T20:50:00;-;-;-;-;-
2017-04-01T21:00:00;10.7;0.7;212;83;1013.2
2017-04-01T21:10:00;10.8;1.2;247;83;1013.2
2017-04-01T21:20:00;10.6;1.2;256;82;1013.2
2017-04-01T21:30:00;10.5;1.4;260;82;1013.4
2017-04-01T21:40:00;9.9;1.1;261;87;1013.4
2017-04-01T21:50:00;9.4;1.0;249;88;1013.4
2017-04-01T22:00:00;9.4;1.0;235;88;1013.4
2017-04-01T22:10:00;9.4;1.1;236;92;1013.4
2017-04-01T22:20:00;9.0;0.9;198;92;1013.4
2017-04-01T22:30:00;9.0;0.9;192;92;1013.4
2017-04-01T22:40:00;9.1;1.3;220;90;1013.4
2017-04-01T22:50:00;8.2;1.5;227;92;1013.6
2017-04-01T23:00:00;8.1;1.5;234;91;1013.8
2017-04-01T23:10:00;7.6;1.5;201;93;1013.8
2017-04-01T23:20:00;7.4;1.3;191;92;1013.8
2017-04-01T23:30:00;8.1;1.4;208;92;1014.0
2017-04-01T23:40:00;7.8;1.2;232;93;1014.0
2017-04-01T23:50:00;7.6;1.6;238;96;1014.2
2017-04-02T00:00:00;7.7;1.5;202;92;1014.2
2017-04-02T00:10:00;7.1;1.5;171;95;1014.2
2017-04-02T00:20:00;7.5;1.5;170;95;1014.2
2017-04-02T00:30:00;7.7;1.2;182;96;1014.2
2017-04-02T00:40:00;7.5;1.0;182;95;1014.4
2017-04-02T00:50:00;7.5;1.4;167;95;1014.4
2017-04-02T01:00:00;7.4;1.4;167;97;1014.4
2017-04-02T01:10:00;7.3;1.4;167;99;1014.4
2017-04-02T01:20:00;7.1;1.1;181;99;1014.4
2017-04-02T01:30:00;7.5;1.3;175;96;1014.4
2017-04-02T01:40:00;7.3;1.3;197;93;1014.4
2017-04-02T01:50:00;7.8;1.5;200;92;1014.4
2017-04-02T02:00:00;7.4;1.9;206;93;1014.6
2017-04-02T02:10:00;6.9;2.0;216;92;1014.6
2017-04-02T02:20:00;6.3;2.5;223;90;1014.6
2017-04-02T02:30:00;6.6;2.3;223;89;1014.6
2017-04-02T02:40:00;6.7;2.0;222;88;1014.6
2017-04-02T02:50:00;6.2;2.0;219;90;1014.8
2017-04-02T03:00:00;7.1;1.6;217;90;1014.8
2017-04-02T03:10:00;7.7;2.0;231;89;1015.0
2017-04-02T03:20:00;6.8;1.9;234;93;1015.0
2017-04-02T03:30:00;6.4;1.9;236;92;1015.1
2017-04-02T03:40:00;5.7;2.2;232;91;1015.1
2017-04-02T03:50:00;6.8;2.0;226;93;1015.1
2017-04-02T04:00:00;6.0;2.3;231;90;1015.2
2017-04-02T04:10:00;5.7;2.2;220;93;1015.2
2017-04-02T04:20:00;6.2;2.2;217;93;1015.2
2017-04-02T04:30:00;5.7;2.2;212;94;1015.3
2017-04-02T04:40:00;6.7;2.1;222;94;1015.4
2017-04-02T04:50:00;7.4;1.8;235;94;1015.6
2017-04-02T05:00:00;7.0;1.8;217;94;1015.6
2017-04-02T05:10:00;6.4;1.6;209;94;1015.7
2017-04-02T05:20:00;6.2;1.7;202;92;1015.7
2017-04-02T05:30:00;7.4;1.6;228;94;1015.8
2017-04-02T05:40:00;6.2;1.8;221;93;1015.9
2017-04-02T05:50:00;6.0;2.0;218;95;1015.9
2017-04-02T06:00:00;5.5;1.9;220;96;1016.0
2017-04-02T06:10:00;5.1;2.1;221;97;1016.1
2017-04-02T06:20:00;5.7;2.0;219;96;1016.1
2017-04-02T06:30:00;5.7;2.0;213;97;1016.2
2017-04-02T06:40:00;5.8;1.7;213;98;1016.2
2017-04-02T06:50:00;6.7;1.6;211;98;1016.3
2017-04-02T07:00:00;7.4;1.6;224;97;1016.6
2017-04-02T07:10:00;6.8;1.8;235;98;1016.7
2017-04-02T07:20:00;6.9;1.9;233;98;1016.9
2017-04-02T07:30:00;6.3;1.8;228;97;1017.1
2017-04-02T07:40:00;7.2;1.5;224;99;1017.2
2017-04-02T07:50:00;6.4;1.9;216;98;1017.4
2017-04-02T08:00:00;6.5;1.4;204;98;1017.5
2017-04-02T08:10:00;6.4;1.6;198;99;1017.7
2017-04-02T08:20:00;7.4;1.7;211;98;1017.8
2017-04-02T08:30:00;8.4;2.1;221;96;1018.0
2017-04-02T08:40:00;-;-;-;-;-
2017-04-02T08:50:00;-;-;-;-;-
2017-04-02T09:00:00;9.8;2.3;218;94;1018.4
2017-04-02T09:10:00;10.0;2.3;225;93;1018.5
2017-04-02T09:20:00;10.3;2.2;222;93;1018.6
2017-04-02T09:30:00;10.4;1.9;233;92;1018.7
2017-04-02T09:40:00;10.8;1.9;245;90;1018.8
2017-04-02T09:50:00;11.0;1.6;268;88;1019.0
2017-04-02T10:00:00;11.2;1.7;272;89;1019.1
2017-04-02T10:10:00;11.4;1.6;253;87;1019.2
2017-04-02T10:20:00;11.5;1.5;273;85;1019.3
2017-04-02T10:30:00;12.0;1.8;282;87;1019.6
2017-04-02T10:40:00;11.9;2.3;279;86;1019.6
2017-04-02T10:50:00;12.4;2.1;266;84;1019.8
2017-04-02T11:00:00;12.9;1.9;279;82;1019.9
2017-04-02T11:10:00;13.2;1.6;273;80;1020.1
2017-04-02T11:20:00;13.4;1.5;281;76;1020.2
2017-04-02T11:30:00;13.7;1.5;291;72;1020.4
2017-04-02T11:40:00;13.9;1.5;308;72;1020.4
2017-04-02T11:50:00;14.3;1.6;292;71;1020.4
2017-04-02T12:00:00;14.5;1.8;266;69;1020.4
2017-04-02T12:10:00;14.8;2.1;292;69;1020.6
2017-04-02T12:20:00;15.0;2.3;290;68;1020.6
2017-04-02T12:30:00;15.0;2.7;282;65;1020.8
2017-04-02T12:40:00;14.9;3.0;275;64;1020.8
2017-04-02T12:50:00;15.2;3.0;281;66;1021.0
2017-04-02T13:00:00;15.2;3.6;288;67;1021.0
2017-04-02T13:10:00;15.0;4.4;290;67;1021.2
2017-04-02T13:20:00;14.7;4.2;285;67;1021.2
2017-04-02T13:30:00;14.9;3.7;288;68;1021.2
2017-04-02T13:40:00;15.0;3.8;281;68;1021.2
2017-04-02T13:50:00;14.8;3.9;281;69;1021.4
2017-04-02T14:00:00;14.8;4.0;288;67;1021.4
2017-04-02T14:10:00;15.0;3.9;288;70;1021.4
2017-04-02T14:20:00;15.0;4.2;283;64;1021.5
2017-04-02T14:30:00;-;-;-;-;-
2017-04-02T14:40:00;-;-;-;-;-
2017-04-02T14:50:00;-;-;-;-;-
2017-04-02T15:00:00;15.5;4.4;288;70;1021.7
2017-04-02T15:10:00;15.0;3.9;285;66;1021.8
2017-04-02T15:20:00;14.9;4.2;283;66;1021.9
2017-04-02T15:30:00;14.7;3.9;300;67;1022.0
2017-04-02T15:40:00;14.9;4.0;314;70;1022.1
2017-04-02T15:50:00;14.8;4.7;313;67;1022.1
2017-04-02T16:00:00;14.7;4.5;308;68;1022.2
2017-04-02T16:10:00;14.3;4.2;303;67;1022.3
2017-04-02T16:20:00;14.4;4.1;300;66;1022.4
2017-04-02T16:30:00;14.8;4.2;306;68;1022.5
2017-04-02T16:40:00;14.3;3.9;301;66;1022.5
2017-04-02T16:50:00;14.6;3.4;317;70;1022.5
2017-04-02T17:00:00;14.4;3.4;322;64;1022.6
2017-04-02T17:10:00;14.2;3.9;309;67;1022.7
2017-04-02T17:20:00;14.0;3.6;327;68;1022.7
2017-04-02T17:30:00;14.1;3.6;320;69;1022.8
2017-04-02T17:40:00;13.7;3.0;327;66;1022.9
2017-04-02T17:50:00;13.9;3.4;340;67;1022.9
2017-04-02T18:00:00;13.6;3.5;342;66;1023.0
2017-04-02T18:10:00;13.6;3.3;336;69;1023.0
2017-04-02T18:20:00;13.3;3.2;345;69;1023.1
2017-04-02T18:30:00;13.3;3.4;342;70;1023.3
2017-04-02T18:40:00;13.1;3.3;336;71;1023.4
2017-04-02T18:50:00;12.8;3.0;342;72;1023.4
2017-04-02T19:00:00;12.5;3.2;345;74;1023.6
2017-04-02T19:10:00;12.3;3.3;344;74;1023.7
2017-04-02T19:20:00;11.9;3.1;345;74;1023.8
2017-04-02T19:30:00;11.5;2.8;344;76;1023.9
2017-04-02T19:40:00;11.2;2.7;346;77;1024.0
2017-04-02T19:50:00;10.7;2.6;348;79;1024.0
2017-04-02T20:00:00;10.0;2.9;346;82;1024.1
2017-04-02T20:10:00;9.5;3.0;339;85;1024.2
2017-04-02T20:20:00;9.0;2.5;341;88;1024.4
2017-04-02T20:30:00;8.9;2.0;344;88;1024.5
2017-04-02T20:40:00;8.4;1.9;342;89;1024.7
2017-04-02T20:50:00;7.9;1.9;343;93;1024.8
2017-04-02T21:00:00;7.8;2.2;349;92;1024.9
2017-04-02T21:10:00;7.9;2.2;349;93;1025.1
2017-04-02T21:20:00;7.8;2.1;350;93;1025.3
2017-04-02T21:30:00;7.5;2.3;351;94;1025.4
2017-04-02T21:40:00;8.2;2.0;348;95;1025.5
2017-04-02T21:50:00;8.2;2.2;351;95;1025.6
2017-04-02T22:00:00;8.3;1.9;342;95;1025.7
2017-04-02T22:10:00;8.1;2.7;339;96;1025.8
2017-04-02T22:20:00;7.9;2.8;345;97;1025.8
2017-04-02T22:30:00;7.8;2.4;343;98;1025.8
2017-04-02T22:40:00;7.8;2.4;341;98;1025.8
2017-04-02T22:50:00;7.7;1.8;350;98;1026.0
2017-04-02T23:00:00;7.5;2.0;6;99;1026.1
2017-04-02T23:10:00;7.3;2.1;11;98;1026.1
2017-04-02T23:20:00;7.0;2.3;24;98;1026.3
2017-04-02T23:30:00;6.8;2.4;22;99;1026.3
2017-04-02T23:40:00;6.8;2.1;357;99;1026.4
2017-04-02T23:50:00;6.6;1.6;17;99;1026.5
2017-04-03T00:00:00;6.8;1.7;5;99;1026.5
2017-04-03T00:10:00;6.8;1.8;12;99;1026.6
2017-04-03T00:20:00;6.7;1.8;346;99;1026.7
2017-04-03T00:30:00;6.7;2.1;348;99;1026.7
2017-04-03T00:40:00;6.5;1.8;20;99;1026.8
2017-04-03T00:50:00;6.6;2.1;11;99;1026.8
2017-04-03T01:00:00;6.7;1.8;360;99;1026.9
2017-04-03T01:10:00;6.7;1.6;357;99;1026.9
2017-04-03T01:20:00;6.3;1.7;16;99;1026.9
2017-04-03T01:30:00;6.4;1.9;62;99;1027.0
2017-04-03T01:40:00;6.3;1.6;27;99;1027.1
2017-04-03T01:50:00;6.3;1.6;50;99;1027.0
