datum;temperatuur (C) [942276001];windsnelheid (m/s) [942276001];windrichting (graden) [942276001];relatieve vochtigheid  (%) [942276001];luchtdruk (hPa) [942276001]
2017-04-01T00:00:00;10.6;0.4;235;89;1012.5
2017-04-01T00:10:00;10.4;0.3;237;89;1012.5
2017-04-01T00:20:00;10.3;0.3;237;90;1012.5
2017-04-01T00:30:00;10.1;0.4;237;90;1012.5
2017-04-01T00:40:00;10.1;0.5;235;91;1012.5
2017-04-01T00:50:00;10.1;0.5;235;91;1012.5
2017-04-01T01:00:00;10.0;0.5;235;91;1012.5
2017-04-01T01:10:00;10.0;0.7;235;91;1012.5
2017-04-01T01:20:00;9.9;0.4;235;92;1012.2
2017-04-01T01:30:00;9.8;0.3;235;92;1012.2
2017-04-01T01:40:00;9.7;0.2;235;92;1012.2
2017-04-01T01:50:00;9.5;0.1;235;92;1012.2
2017-04-01T02:00:00;9.4;0.4;235;92;1012.2
2017-04-01T02:10:00;9.4;0.3;235;93;1012.2
2017-04-01T02:20:00;9.3;0.2;235;93;1012.2
2017-04-01T02:30:00;9.4;0.3;200;94;1011.8
2017-04-01T02:40:00;9.4;0.3;200;94;1011.8
2017-04-01T02:50:00;9.4;-;200;93;1011.8
2017-04-01T03:00:00;9.1;0.1;200;94;1011.5
2017-04-01T03:10:00;8.9;0.3;200;94;1011.8
2017-04-01T03:20:00;9.1;0.3;196;94;1011.5
2017-04-01T03:30:00;9.2;0.5;159;94;1011.5
2017-04-01T03:40:00;9.2;0.2;159;94;1011.5
2017-04-01T03:50:00;9.2;0.6;159;95;1011.5
2017-04-01T04:00:00;9.4;0.6;148;95;1011.5
2017-04-01T04:10:00;9.4;0.6;142;95;1011.5
2017-04-01T04:20:00;9.5;0.9;97;95;1011.2
2017-04-01T04:30:00;9.6;0.8;117;95;1011.2
2017-04-01T04:40:00;9.7;0.6;114;95;1011.2
2017-04-01T04:50:00;9.8;0.8;110;95;1010.8
2017-04-01T05:00:00;9.8;0.6;113;95;1010.8
2017-04-01T05:10:00;9.7;0.5;138;95;1010.8
2017-04-01T05:20:00;-;-;-;-;-
2017-04-01T05:30:00;9.7;0.8;114;95;1010.8
2017-04-01T05:40:00;9.5;0.3;118;94;1010.8
2017-04-01T05:50:00;9.5;0.2;118;95;1010.8
2017-04-01T06:00:00;9.3;0.1;118;95;1010.8
2017-04-01T06:10:00;9.3;0.2;118;95;1010.5
2017-04-01T06:20:00;9.2;0.2;118;95;1010.5
2017-04-01T06:30:00;9.2;-;118;95;1010.5
2017-04-01T06:40:00;9.1;0.3;118;95;1010.5
2017-04-01T06:50:00;9.5;0.3;118;96;1010.5
2017-04-01T07:00:00;9.7;0.3;100;95;1010.5
2017-04-01T07:10:00;10.0;0.5;109;95;1010.5
2017-04-01T07:20:00;10.1;1.1;140;95;1010.5
2017-04-01T07:30:00;10.4;0.6;144;95;1010.5
2017-04-01T07:40:00;10.6;0.7;155;95;1010.5
2017-04-01T07:50:00;10.7;1.0;137;94;1010.5
2017-04-01T08:00:00;10.9;0.9;157;93;1010.5
2017-04-01T08:10:00;11.0;1.1;141;93;1010.5
2017-04-01T08:20:00;11.0;1.3;202;93;1010.8
2017-04-01T08:30:00;11.0;1.7;183;92;1010.8
2017-04-01T08:40:00;11.0;1.7;221;92;1010.8
2017-04-01T08:50:00;11.0;1.7;182;92;1010.8
2017-04-01T09:00:00;10.9;1.3;161;92;1010.8
2017-04-01T09:10:00;10.9;1.4;217;93;1010.8
2017-04-01T09:20:00;10.8;1.3;257;93;1010.8
2017-04-01T09:30:00;10.7;1.5;207;93;1011.2
2017-04-01T09:40:00;10.6;1.0;282;93;1011.2
2017-04-01T09:50:00;10.6;1.1;238;94;1011.2
2017-04-01T10:00:00;10.6;2.0;237;93;1010.8
2017-04-01T10:10:00;10.6;1.3;306;93;1011.2
2017-04-01T10:20:00;10.7;1.4;264;93;1011.2
2017-04-01T10:30:00;10.9;1.2;289;92;1011.2
2017-04-01T10:40:00;10.8;1.6;285;92;1011.2
2017-04-01T10:50:00;11.0;0.7;271;92;1011.2
2017-04-01T11:00:00;11.2;1.7;255;91;1011.5
2017-04-01T11:10:00;11.2;1.1;231;91;1011.5
